Date,Close
2/01/2018,98.59
3/01/2018,99.45
4/01/2018,99.54
5/01/2018,100.13
8/01/2018,101.61
9/01/2018,100.39
10/01/2018,99.67
11/01/2018,100.02
12/01/2018,100.87
16/01/2018,100.69
17/01/2018,102.7
18/01/2018,104.3
19/01/2018,104.59
22/01/2018,105.45
23/01/2018,105.9
24/01/2018,105.79
25/01/2018,106.6
26/01/2018,108.39
29/01/2018,109.55
30/01/2018,107.73
31/01/2018,106.6
1/02/2018,105.52
2/02/2018,104.48
5/02/2018,100.09
6/02/2018,100.9
7/02/2018,102.85
8/02/2018,100.02
9/02/2018,99.37
12/02/2018,99.55
13/02/2018,100.98
14/02/2018,101.7
15/02/2018,103.23
16/02/2018,104.78
20/02/2018,94.11
21/02/2018,91.52
22/02/2018,92.77
23/02/2018,92.89
26/02/2018,93.12
27/02/2018,91.52
28/02/2018,90.01
1/03/2018,89.08
2/03/2018,88.77
5/03/2018,89.98
6/03/2018,89.06
7/03/2018,87.74
8/03/2018,87.92
9/03/2018,88.72
12/03/2018,88.07
13/03/2018,88.3
14/03/2018,87.67
15/03/2018,87.51
16/03/2018,89.17
19/03/2018,87.45
20/03/2018,87.95
21/03/2018,88.18
22/03/2018,87.14
23/03/2018,85.42
26/03/2018,87.5
27/03/2018,86.05
28/03/2018,87.77
29/03/2018,88.97
2/04/2018,85.55
3/04/2018,86.8
4/04/2018,87.22
5/04/2018,87.81
6/04/2018,86.69
9/04/2018,86.28
10/04/2018,86.45
11/04/2018,85.91
12/04/2018,85.43
13/04/2018,86.02
16/04/2018,86.84
17/04/2018,87.9
18/04/2018,87.57
19/04/2018,87.89
20/04/2018,86.98
23/04/2018,86.1
24/04/2018,86.53
25/04/2018,87.17
26/04/2018,87.94
27/04/2018,87.29
30/04/2018,88.46
1/05/2018,87.41
2/05/2018,86.34
3/05/2018,86.23
4/05/2018,87.53
7/05/2018,85.47
8/05/2018,85.74
9/05/2018,83.06
10/05/2018,82.69
11/05/2018,83.38
14/05/2018,84.39
15/05/2018,84.52
16/05/2018,86.13
17/05/2018,84.49
18/05/2018,83.64
21/05/2018,84.51
22/05/2018,83.37
23/05/2018,83.01
24/05/2018,82.85
25/05/2018,82.46
29/05/2018,82.4
30/05/2018,84.12
31/05/2018,82.54
1/06/2018,82.99
4/06/2018,85.42
5/06/2018,84.62
6/06/2018,84.56
7/06/2018,84.95
8/06/2018,84.36
11/06/2018,84.3
12/06/2018,84.1
13/06/2018,84.09
14/06/2018,83.79
15/06/2018,83.7
18/06/2018,83
19/06/2018,83.61
20/06/2018,83.61
21/06/2018,84.21
22/06/2018,84.82
25/06/2018,86.47
26/06/2018,85.98
27/06/2018,86.89
28/06/2018,85.86
29/06/2018,85.65
2/07/2018,84
3/07/2018,84.44
5/07/2018,84.57
6/07/2018,84.51
9/07/2018,85.93
10/07/2018,87.21
11/07/2018,86.53
12/07/2018,86.52
13/07/2018,87.7
16/07/2018,87.64
17/07/2018,88.19
18/07/2018,88.07
19/07/2018,87.72
20/07/2018,88.06
23/07/2018,87.63
24/07/2018,87.96
25/07/2018,87.9
26/07/2018,88.23
27/07/2018,88.13
30/07/2018,88.88
31/07/2018,89.23
1/08/2018,88.24
2/08/2018,88.76
3/08/2018,89.6
6/08/2018,89.67
7/08/2018,89.77
8/08/2018,90.05
9/08/2018,89.01
10/08/2018,90.18
13/08/2018,89.64
14/08/2018,90.85
15/08/2018,90.22
16/08/2018,98.64
17/08/2018,97.85
20/08/2018,96
21/08/2018,96.08
22/08/2018,95.67
23/08/2018,95.18
24/08/2018,94.95
27/08/2018,94.54
28/08/2018,96.07
29/08/2018,95.64
30/08/2018,96.1
31/08/2018,95.86
4/09/2018,95.36
5/09/2018,96.62
6/09/2018,96.45
7/09/2018,95.83
10/09/2018,96.9
11/09/2018,96.64
12/09/2018,95.97
13/09/2018,95.12
14/09/2018,94.59
17/09/2018,94.82
18/09/2018,95.43
19/09/2018,95.24
20/09/2018,95.75
21/09/2018,95.9
24/09/2018,94.92
25/09/2018,95.1
26/09/2018,94.59
27/09/2018,94.13
28/09/2018,93.91
1/10/2018,94.4
2/10/2018,95.15
3/10/2018,94.07
4/10/2018,94.21
5/10/2018,93.31
8/10/2018,94.69
9/10/2018,97.08
10/10/2018,95.76
11/10/2018,93.92
12/10/2018,94.81
15/10/2018,93.82
16/10/2018,95.81
17/10/2018,96.56
18/10/2018,96.17
19/10/2018,97.15
22/10/2018,97.14
23/10/2018,97.8
24/10/2018,97.56
25/10/2018,99.18
26/10/2018,98.94
29/10/2018,99.8
30/10/2018,102.42
31/10/2018,100.28
1/11/2018,100.58
2/11/2018,101.34
5/11/2018,102.91
6/11/2018,103.33
7/11/2018,104.32
8/11/2018,104.88
9/11/2018,105.56
12/11/2018,103.87
13/11/2018,102.94
14/11/2018,101.53
15/11/2018,99.54
16/11/2018,97.69
19/11/2018,96.78
20/11/2018,94.16
21/11/2018,94.17
23/11/2018,95.1
26/11/2018,95.15
27/11/2018,95.04
28/11/2018,97.46
29/11/2018,97.29
30/11/2018,97.65
3/12/2018,98.75
4/12/2018,95.81
6/12/2018,94.77
7/12/2018,93.19
10/12/2018,93.94
11/12/2018,93.85
12/12/2018,93.11
13/12/2018,92.96
14/12/2018,91.85
17/12/2018,90.77
18/12/2018,91.08
19/12/2018,90.55
20/12/2018,87.28
21/12/2018,87.13
24/12/2018,85.82
26/12/2018,90.41
27/12/2018,91.59
28/12/2018,92.13
